Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
27670,2.16,Very Good,F,SI2,62.4,59.0,18678,8.28,8.33,5.18
36733,0.32,Ideal,G,IF,60.5,57.0,954,4.42,4.44,2.68
45223,0.52,Ideal,E,SI1,62.4,58.0,1656,5.16,5.13,3.21
24479,2.2,Premium,H,SI2,61.5,58.0,12747,8.44,8.38,5.18
7282,1.0,Premium,E,SI2,61.0,62.0,4200,6.41,6.34,3.89
39034,0.41,Ideal,H,SI1,61.7,56.0,1056,4.76,4.8,2.95
5138,1.12,Ideal,H,SI2,61.4,56.0,3763,6.69,6.66,4.1
397,0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62
41149,0.53,Ideal,H,SI1,62.3,57.0,1197,5.2,5.24,3.25
12152,1.1,Ideal,E,SI2,61.6,56.0,5174,6.64,6.61,4.08
12448,1.12,Very Good,D,SI2,59.3,59.0,5243,6.76,6.8,4.02
17852,1.21,Premium,E,SI1,62.6,58.0,7203,6.79,6.82,4.26
49239,0.64,Ideal,H,VVS1,61.1,55.0,2084,5.58,5.61,3.43
34979,0.35,Ideal,I,SI1,61.3,54.0,472,4.51,4.56,2.78
18872,1.64,Very Good,J,SI1,62.6,59.0,7739,7.45,7.51,4.68
21648,1.0,Very Good,D,VVS2,59.9,61.0,9740,6.42,6.5,3.87
44520,0.58,Ideal,H,VS2,62.4,58.0,1600,5.3,5.34,3.32
22275,1.52,Premium,H,SI1,62.5,58.0,10330,7.34,7.28,4.57
53747,0.71,Very Good,D,SI1,61.1,56.0,2724,5.74,5.78,3.52
16715,0.39,Ideal,I,SI1,62.1,55.0,609,4.66,4.71,2.91
4149,1.04,Very Good,H,SI2,62.4,58.0,3546,6.4,6.49,4.02
40301,0.4,Premium,G,VS1,60.7,58.0,1125,4.81,4.78,2.91
44457,0.5,Very Good,G,VS1,62.9,55.0,1592,5.06,5.09,3.19
32351,0.3,Premium,E,VVS2,61.8,58.0,789,4.26,4.29,2.64
51016,0.71,Good,I,VS1,63.6,56.0,2327,5.7,5.65,3.61
40991,0.42,Ideal,E,VS1,61.6,57.0,1181,4.84,4.8,2.97
24591,1.49,Premium,G,VS1,60.8,62.0,12900,7.41,7.36,4.49
15841,1.17,Very Good,H,SI1,59.6,62.0,6336,6.88,6.82,4.08
47259,0.5,Very Good,G,VVS1,60.9,57.0,1843,5.1,5.15,3.12
46509,0.51,Ideal,D,VS1,62.5,57.0,1779,5.08,5.13,3.19
32708,0.31,Premium,F,VS2,61.7,58.0,802,4.38,4.34,2.69
17472,1.01,Ideal,E,VS2,61.9,57.0,7013,6.43,6.37,3.96
26304,1.82,Ideal,F,SI1,61.8,58.0,15802,7.8,7.84,4.83
38587,0.39,Ideal,F,VVS2,61.9,54.8,1036,4.68,4.69,2.9
49845,0.71,Premium,F,SI2,62.3,60.0,2169,5.7,5.67,3.54
1048,0.71,Ideal,F,VS1,61.9,56.0,2907,5.7,5.74,3.54
11779,1.83,Fair,J,I1,70.0,58.0,5083,7.34,7.28,5.12
24130,1.62,Ideal,G,SI1,62.2,56.0,12295,7.48,7.53,4.67
15245,1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0
399,0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68
7568,0.9,Fair,D,SI1,63.8,61.0,4252,6.07,5.99,3.85
4769,0.72,Ideal,E,VS1,62.1,54.0,3690,5.74,5.76,3.57
15761,1.02,Very Good,G,VS1,62.6,58.0,6301,6.36,6.46,4.01
31799,0.42,Ideal,F,SI1,60.6,57.0,773,4.84,4.9,2.95
53773,0.7,Ideal,D,SI1,62.0,54.0,2726,5.73,5.76,3.56
27334,2.0,Ideal,I,VS1,62.0,57.0,17889,8.04,7.99,4.97
48148,0.53,Premium,D,VS1,62.4,61.0,1940,5.25,5.14,3.24
37666,0.42,Ideal,E,SI1,61.5,55.0,992,4.9,4.82,2.99
17161,1.09,Ideal,E,SI2,62.7,55.9,6852,6.52,6.58,4.11
17497,1.01,Premium,D,VS2,62.2,61.0,7032,6.43,6.37,3.98
21194,1.51,Good,E,SI2,63.1,58.0,9343,7.28,7.31,4.6
50529,0.75,Premium,F,SI2,60.9,58.0,2274,5.88,5.91,3.59
4215,0.91,Very Good,H,VS2,63.1,56.0,3567,6.2,6.13,3.89
5184,0.9,Premium,G,SI1,61.3,60.0,3774,6.17,6.14,3.77
23452,1.5,Very Good,D,SI1,62.7,59.0,11442,7.21,7.24,4.53
48548,0.72,Very Good,J,SI1,63.0,58.0,1989,5.67,5.7,3.58
15856,1.51,Premium,J,VS2,62.3,59.0,6342,7.36,7.3,4.57
48465,0.58,Very Good,D,VS2,60.2,57.0,1977,5.41,5.45,3.27
48299,0.75,Very Good,J,SI1,63.1,57.0,1958,5.79,5.74,3.64
32788,0.31,Ideal,D,VVS2,61.2,56.0,804,4.35,4.37,2.67
19873,1.52,Premium,J,VS1,62.2,59.0,8426,7.32,7.38,4.57
11130,1.5,Fair,H,I1,66.6,54.0,4939,7.05,7.01,4.68
39668,0.42,Ideal,G,VS2,62.2,56.0,1087,4.82,4.8,2.99
22780,1.68,Ideal,I,VS2,62.1,57.0,10800,7.6,7.54,4.7
24094,1.75,Ideal,I,VS2,61.0,56.0,12238,7.82,7.75,4.75
31266,0.32,Very Good,H,SI1,62.2,56.0,449,4.36,4.39,2.72
44882,0.5,Premium,G,VS1,60.3,60.0,1629,5.1,5.08,3.07
40658,0.54,Good,H,SI1,63.3,57.0,1154,5.15,5.22,3.28
6988,0.9,Very Good,H,VS2,62.0,57.0,4155,6.1,6.16,3.8
26388,2.01,Good,H,SI2,64.0,51.0,15888,8.08,8.01,5.15
13283,1.08,Premium,F,SI1,61.0,59.0,5487,6.67,6.57,4.04
5501,0.93,Ideal,H,SI1,62.0,55.0,3844,6.32,6.29,3.91
4816,0.71,Good,F,VS1,61.8,57.0,3701,5.73,5.76,3.55
34597,0.27,Very Good,E,VS2,61.3,58.0,470,4.13,4.16,2.54
42114,0.51,Ideal,I,VS2,62.1,55.0,1277,5.1,5.13,3.17
23557,1.51,Premium,E,SI1,62.8,59.0,11565,7.3,7.26,4.57
46418,0.51,Very Good,G,VVS2,60.9,56.0,1768,5.17,5.21,3.16
4572,0.76,Ideal,F,VS2,61.9,57.0,3648,5.83,5.86,3.62
9845,1.01,Premium,I,VS2,62.5,58.0,4676,6.44,6.39,4.01
31430,0.3,Ideal,H,IF,62.5,56.0,764,4.31,4.33,2.7
4184,0.91,Ideal,G,SI2,62.7,57.0,3557,6.15,6.19,3.87
46188,0.71,Good,I,VS2,64.0,59.0,1748,5.55,5.61,3.57
3603,0.93,Good,G,SI2,64.5,56.3,3425,6.08,6.14,3.94
567,0.71,Premium,F,VS1,62.2,58.0,2832,5.72,5.66,3.54
10963,1.06,Premium,D,SI2,61.6,61.0,4903,6.59,6.53,4.04
30592,0.31,Ideal,D,VS2,62.1,56.0,734,4.34,4.35,2.7
41083,0.41,Ideal,F,VVS2,61.0,56.0,1192,4.82,4.78,2.93
52829,0.7,Ideal,G,VS1,61.4,55.0,2573,5.74,5.69,3.51
52254,0.72,Very Good,G,SI1,62.5,60.0,2488,5.69,5.73,3.57
18139,1.59,Very Good,I,SI2,61.9,58.0,7345,7.46,7.5,4.63
18011,1.47,Ideal,I,VS2,62.3,57.0,7284,7.24,7.3,4.53
10576,1.02,Premium,H,SI1,58.3,59.0,4819,6.68,6.59,3.87
6248,0.9,Ideal,G,SI1,61.6,58.0,4008,6.16,6.21,3.81
46491,0.51,Very Good,E,VS1,61.6,59.0,1778,5.1,5.12,3.15
52332,0.78,Ideal,G,SI1,61.0,57.0,2496,5.94,5.99,3.64
13005,1.21,Premium,G,SI2,62.7,59.0,5405,6.74,6.66,4.2
39021,0.43,Premium,I,IF,61.2,58.0,1056,4.83,4.88,2.97
34976,0.23,Good,F,VVS1,60.3,66.0,472,3.93,3.96,2.38
6376,0.25,Very Good,F,VVS2,62.0,59.0,576,3.99,4.04,2.49
48718,0.7,Ideal,F,SI2,62.6,53.0,2011,5.72,5.69,3.57
49582,0.55,Ideal,H,IF,61.7,55.0,2133,5.27,5.29,3.26
7606,0.73,Ideal,D,VS1,61.9,55.0,4258,5.78,5.81,3.59
30389,0.33,Ideal,H,VVS1,61.6,55.0,730,4.45,4.48,2.75
6025,1.0,Good,D,SI2,64.3,53.0,3965,6.34,6.29,4.06
8650,1.0,Good,F,SI1,64.0,57.0,4452,6.33,6.29,4.04
25579,2.22,Ideal,I,SI2,62.7,61.0,14416,8.31,8.23,5.19
4357,0.8,Very Good,F,VS1,63.8,55.0,3603,5.84,5.89,3.74
15247,1.04,Premium,G,VS2,60.0,58.0,6122,6.62,6.54,3.95
23816,1.5,Premium,F,SI1,62.9,59.0,11878,7.34,7.29,4.6
25930,1.66,Good,G,VS2,63.2,56.0,15091,7.49,7.61,4.77
49826,0.7,Fair,F,SI1,64.8,60.0,2167,5.57,5.54,3.6
1639,0.71,Very Good,F,VS1,61.8,60.0,3017,5.66,5.7,3.51
20413,1.02,Premium,F,VVS2,60.9,59.0,8774,6.56,6.44,3.96
26601,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23
28446,0.31,Ideal,H,VVS1,61.2,58.0,671,4.35,4.38,2.67
52845,0.7,Ideal,D,SI2,62.1,56.0,2575,5.67,5.71,3.53
8994,1.0,Good,H,SI1,61.0,61.0,4510,6.36,6.42,3.9
37780,0.38,Very Good,E,VVS2,61.8,56.0,1000,4.66,4.68,2.88
37609,0.24,Very Good,F,VVS1,61.7,56.0,485,3.98,4.0,2.46
15243,1.22,Premium,E,SI2,61.5,58.0,6121,6.86,6.84,4.21
3389,0.31,Very Good,F,SI2,63.0,58.0,408,4.34,4.36,2.74
16872,1.02,Very Good,E,VS2,58.4,57.0,6732,6.59,6.64,3.86
51647,0.26,Very Good,G,VVS1,61.4,56.0,545,4.13,4.15,2.54
49621,0.32,Ideal,F,SI2,62.6,56.0,540,4.41,4.37,2.75
21548,1.18,Premium,F,VS1,60.7,55.0,9648,6.87,6.8,4.15
9549,1.0,Very Good,F,SI1,60.3,61.0,4620,6.38,6.43,3.86
50372,0.71,Premium,D,SI1,58.1,61.0,2249,5.81,5.79,3.37
16947,0.97,Premium,F,VVS2,58.1,60.0,6768,6.53,6.49,3.78
8687,1.01,Ideal,F,SI2,62.1,55.0,4458,6.42,6.47,4.0
33839,0.38,Ideal,F,SI1,60.9,55.0,844,4.7,4.72,2.87
35592,0.4,Premium,E,SI1,62.8,59.0,907,4.7,4.67,2.94
22109,1.0,Premium,E,VVS1,60.3,54.0,10134,6.59,6.47,3.94
11418,1.16,Ideal,E,SI2,59.9,57.0,5001,6.8,6.82,4.08
44367,0.58,Ideal,I,VVS1,62.3,53.0,1580,5.38,5.4,3.36
38875,0.4,Premium,F,VS1,62.5,59.0,1050,4.69,4.66,2.92
40884,0.38,Ideal,E,VVS2,61.6,55.0,1176,4.66,4.63,2.86
42788,0.53,Very Good,I,VS1,59.9,58.0,1350,5.24,5.28,3.15
27378,0.35,Premium,H,SI1,61.3,55.0,647,4.58,4.55,2.8
35565,0.35,Ideal,G,VS1,61.9,55.0,906,4.53,4.52,2.8
31124,0.43,Very Good,G,SI1,60.4,58.0,754,4.87,4.9,2.95
36284,0.32,Ideal,D,SI2,62.4,54.0,477,4.38,4.4,2.74
41723,0.5,Very Good,D,SI2,63.2,56.0,1243,5.05,5.01,3.18
12293,1.21,Premium,H,SI2,61.9,55.0,5218,6.84,6.79,4.22
27374,0.32,Ideal,G,SI1,61.5,55.0,647,4.4,4.44,2.72
24353,2.01,Very Good,H,SI2,63.4,58.0,12617,8.01,7.94,5.06
25244,1.5,Fair,F,VS2,65.3,57.0,13853,7.15,7.12,4.66
7237,1.07,Premium,H,SI2,62.2,59.0,4194,6.53,6.47,4.04
43437,0.5,Good,F,VS1,58.0,61.0,1415,5.18,5.23,3.02
26780,2.01,Premium,I,VS2,60.5,60.0,16626,8.15,8.17,4.94
25331,2.21,Premium,H,SI2,61.3,60.0,14032,8.35,8.33,5.11
50055,0.74,Premium,H,SI1,60.9,60.0,2201,5.81,5.75,3.52
15786,1.33,Premium,I,VS2,62.5,61.0,6316,7.02,6.99,4.38
52392,0.62,Ideal,D,VS1,61.9,57.0,2508,5.47,5.55,3.41
9104,1.0,Good,G,SI1,62.5,65.0,4528,6.24,6.31,3.92
17780,1.51,Premium,I,SI2,62.6,59.0,7162,7.28,7.31,4.57
19026,0.34,Ideal,H,VS1,62.2,55.0,620,4.47,4.49,2.79
51766,0.7,Very Good,F,SI1,61.1,57.0,2409,5.7,5.73,3.49
2506,0.71,Ideal,F,VS1,62.6,57.0,3199,5.7,5.73,3.58
40095,0.33,Ideal,G,VVS1,61.7,56.0,1114,4.47,4.45,2.75
27111,2.02,Ideal,G,SI2,61.7,57.0,17265,8.15,8.1,5.01
44829,0.52,Ideal,F,SI1,61.8,55.0,1624,5.19,5.15,3.2
38714,0.33,Ideal,F,IF,61.5,55.0,1042,4.44,4.47,2.74
25115,2.02,Very Good,H,SI2,63.1,54.0,13655,8.09,7.99,5.07
9698,0.32,Premium,D,SI1,60.9,60.0,589,4.39,4.41,2.68
28962,0.31,Very Good,I,VS2,60.7,61.0,435,4.32,4.34,2.63
46709,0.7,Good,F,SI2,64.1,58.0,1792,5.58,5.53,3.56
48772,0.57,Premium,D,VS2,60.8,59.0,2019,5.38,5.34,3.26
53714,0.76,Ideal,F,SI1,62.6,56.0,2719,5.82,5.88,3.66
960,0.66,Ideal,G,VVS1,61.5,56.0,2890,5.61,5.58,3.44
5279,0.79,Very Good,D,VS1,58.8,60.0,3798,6.03,6.08,3.56
34998,0.35,Ideal,D,VVS2,61.6,56.0,882,4.55,4.57,2.81
40145,0.51,Premium,H,SI1,61.9,56.0,1116,5.13,5.12,3.17
19578,1.53,Premium,J,VS1,60.1,59.0,8205,7.51,7.47,4.5
19588,1.0,Very Good,F,VVS2,61.4,58.0,8216,6.36,6.41,3.92
438,0.7,Ideal,H,SI1,61.5,55.0,2815,5.73,5.79,3.54
30005,0.43,Ideal,H,SI1,61.6,55.0,716,4.87,4.9,3.01
33156,0.31,Very Good,G,VVS1,62.8,53.0,816,4.34,4.36,2.73
18150,1.14,Ideal,H,VVS2,61.9,56.0,7354,6.69,6.72,4.15
42306,0.55,Very Good,D,SI2,63.3,56.0,1295,5.22,5.24,3.31
7316,1.02,Premium,H,SI2,59.8,59.0,4207,6.5,6.54,3.9
16178,1.0,Very Good,F,VS1,62.9,56.0,6468,6.38,6.43,4.03
14095,0.91,Ideal,D,SI1,60.6,56.0,5717,6.27,6.3,3.81
14851,0.94,Premium,D,VS1,62.3,58.0,5980,6.34,6.28,3.93
19575,1.09,Premium,F,VS1,60.9,58.0,8204,6.67,6.63,4.05
5243,0.7,Ideal,D,VS2,61.2,57.0,3788,5.69,5.75,3.5
44490,0.5,Very Good,H,VS1,61.6,57.0,1598,5.11,5.13,3.15
26921,2.03,Ideal,I,VS2,62.7,57.0,16945,8.05,8.02,5.04
1489,0.76,Ideal,I,IF,61.6,55.0,2988,5.92,5.89,3.64
19000,1.51,Premium,J,SI1,59.9,60.0,7822,7.46,7.41,4.45
17005,1.53,Premium,G,SI2,58.5,59.0,6788,7.52,7.49,4.39
33108,0.34,Ideal,E,VS1,62.2,54.2,816,4.44,4.47,2.78
20481,1.5,Very Good,E,SI2,63.1,57.0,8820,7.32,7.27,4.6
20714,0.31,Ideal,G,VS1,61.4,56.0,625,4.36,4.37,2.68
26192,1.75,Very Good,D,SI1,61.4,60.0,15544,7.76,7.8,4.78
37628,0.4,Ideal,D,SI1,60.8,57.0,990,4.81,4.77,2.91
34154,0.33,Ideal,G,VS1,62.1,54.0,854,4.47,4.45,2.77
17325,1.22,Ideal,H,VS2,61.4,57.0,6947,6.89,6.85,4.22
47344,0.5,Premium,D,VS2,61.4,59.0,1845,5.15,5.11,3.15
51673,0.7,Ideal,E,SI2,61.9,57.0,2398,5.66,5.69,3.51
27876,0.44,Ideal,H,SI2,62.3,54.0,654,4.89,4.93,3.06
36171,0.32,Ideal,F,IF,60.3,58.0,929,4.45,4.5,2.7
45783,0.67,Good,I,VS2,60.7,61.4,1708,5.6,5.64,3.41
9410,0.9,Very Good,H,VS2,62.3,59.0,4588,6.13,6.17,3.83
21298,1.43,Very Good,D,SI1,63.5,56.0,9450,7.24,7.09,4.55
41239,0.33,Premium,D,VVS1,61.8,58.0,1207,4.43,4.4,2.73
18193,1.25,Premium,H,VS2,60.4,59.0,7378,6.96,6.92,4.19
5827,1.01,Fair,E,SI2,57.9,57.0,3916,6.51,6.55,3.78
9620,1.2,Very Good,J,SI2,61.4,55.0,4636,6.85,6.92,4.23
27494,2.01,Ideal,H,SI1,62.8,54.0,18186,8.03,8.08,5.05
22176,1.51,Very Good,I,VS1,61.1,61.0,10215,7.32,7.37,4.49
32449,0.43,Very Good,F,SI1,61.6,59.0,792,4.83,4.87,2.99
29344,0.31,Ideal,G,VS2,61.6,55.0,698,4.39,4.37,2.7
20624,1.04,Ideal,G,IF,62.1,54.0,8921,6.53,6.55,4.06
44694,0.57,Ideal,F,VS2,61.3,57.0,1612,5.35,5.39,3.29
17722,0.33,Very Good,H,VVS2,61.9,55.0,614,4.44,4.46,2.75
2721,0.26,Ideal,E,VVS2,62.5,55.0,564,4.07,4.09,2.55
48162,0.7,Premium,H,SI2,62.9,61.0,1942,5.57,5.53,3.49
52671,0.7,Premium,D,SI1,62.6,58.0,2550,5.67,5.6,3.53
17075,1.05,Very Good,F,VS2,62.8,57.0,6808,6.45,6.48,4.06
9049,0.28,Very Good,E,VS1,63.1,55.0,588,4.18,4.15,2.63
6335,1.0,Premium,H,SI2,61.0,57.0,4032,6.51,6.4,3.94
30044,0.38,Good,F,VS2,60.3,61.0,719,4.68,4.71,2.83
23478,1.13,Ideal,D,VS1,61.2,57.0,11477,6.7,6.72,4.1
34669,0.31,Premium,E,VS2,61.8,59.0,872,4.37,4.3,2.68
28817,0.31,Premium,D,VS1,59.6,58.0,683,4.38,4.41,2.62
35468,0.31,Ideal,F,IF,62.0,55.0,901,4.37,4.41,2.72
13574,1.21,Very Good,G,SI2,59.6,60.0,5556,6.92,6.94,4.13
23306,1.52,Very Good,G,VS2,63.3,57.0,11338,7.32,7.27,4.62
42622,0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75
1417,0.8,Ideal,G,VS2,61.2,57.0,2969,6.02,6.07,3.7
45151,0.5,Premium,F,VS2,61.8,58.0,1654,5.1,5.06,3.14
40895,0.42,Ideal,E,VS1,60.6,57.0,1177,4.84,4.86,2.94
30861,0.33,Ideal,G,VS2,62.0,57.0,743,4.47,4.44,2.76
37629,0.4,Ideal,D,SI1,59.6,57.0,990,4.82,4.77,2.86
43097,0.51,Ideal,D,SI2,60.9,56.0,1383,5.18,5.2,3.16
49474,0.72,Very Good,G,SI2,60.6,57.0,2114,5.79,5.86,3.53
4787,1.2,Very Good,H,I1,58.6,57.0,3696,6.96,7.01,4.09
18057,0.32,Very Good,F,VS1,62.2,55.0,616,4.37,4.39,2.72
16697,0.32,Good,F,SI2,63.1,56.0,421,4.34,4.38,2.75
42543,0.6,Premium,F,SI1,62.9,59.0,1323,5.39,5.31,3.37
34180,0.33,Ideal,G,VS1,62.1,56.0,854,4.42,4.4,2.74
51515,0.7,Ideal,D,SI2,61.6,56.0,2384,5.73,5.69,3.52
41978,0.55,Ideal,F,SI2,62.4,56.0,1263,5.26,5.22,3.27
40242,0.37,Premium,E,VS1,60.4,58.0,1124,4.66,4.61,2.8
41423,0.46,Ideal,H,VVS1,62.3,54.0,1227,4.96,4.99,3.1
12432,1.0,Good,G,VS2,63.8,58.0,5242,6.37,6.29,4.04
15810,1.06,Very Good,G,VS2,63.1,59.0,6325,6.48,6.45,4.08
53190,0.73,Ideal,D,SI1,60.2,56.0,2632,5.86,5.94,3.55
30408,0.34,Ideal,D,VS2,60.8,57.0,730,4.52,4.56,2.76
40490,0.42,Premium,F,VVS2,59.6,59.0,1142,4.83,4.86,2.89
543,1.01,Premium,H,SI2,61.6,61.0,2828,6.39,6.31,3.91
50307,0.31,Ideal,H,VS1,62.0,54.0,544,4.35,4.39,2.71
29269,0.31,Very Good,E,SI1,63.4,55.0,698,4.32,4.29,2.73
2497,0.77,Very Good,G,VS1,61.1,54.0,3197,5.91,5.94,3.62
32191,0.35,Premium,H,VS1,61.3,59.0,788,4.57,4.54,2.79
11116,1.02,Good,F,SI1,64.3,58.0,4936,6.28,6.32,4.05
10485,1.01,Premium,F,SI2,62.2,57.0,4796,6.43,6.36,3.98
21166,1.5,Good,H,SI1,57.9,62.0,9324,7.55,7.48,4.35
5776,1.18,Fair,D,SI2,57.0,66.0,3899,6.96,6.91,3.98
22995,1.56,Ideal,F,SI1,61.2,57.0,11047,7.48,7.52,4.59
52739,0.73,Ideal,E,SI2,60.9,57.0,2559,5.8,5.83,3.54
13098,1.21,Ideal,J,VS1,62.3,55.0,5421,6.86,6.81,4.26
38394,0.42,Ideal,E,VS2,62.1,56.0,1024,4.8,4.77,2.97
37923,0.23,Very Good,E,VVS1,61.0,58.0,485,3.99,4.01,2.44
44282,0.53,Ideal,G,VS2,61.2,56.0,1577,5.19,5.22,3.19
50764,0.87,Very Good,J,SI1,61.4,57.0,2300,6.14,6.17,3.78
42729,0.58,Ideal,D,SI2,61.2,57.0,1342,5.36,5.4,3.29
26528,1.52,Premium,E,VS1,60.1,59.0,16187,7.49,7.45,4.49
9659,1.01,Premium,H,SI1,63.0,60.0,4642,6.36,6.33,4.0
10995,0.91,Very Good,E,SI1,62.3,59.0,4914,6.18,6.21,3.86
37383,0.4,Premium,D,VS2,61.7,59.0,982,4.72,4.75,2.92
17010,1.52,Premium,I,VS2,61.7,61.0,6793,7.35,7.3,4.52
53425,0.54,Ideal,D,VVS2,61.3,56.0,2671,5.22,5.26,3.21
11132,1.26,Ideal,E,SI2,62.4,57.0,4939,6.91,6.85,4.29
23421,1.53,Premium,H,VS1,60.8,59.0,11413,7.41,7.36,4.49
1110,0.8,Very Good,F,SI1,63.5,55.0,2914,5.86,5.89,3.73
21027,1.51,Good,I,SI1,63.9,59.0,9234,7.26,7.18,4.61
14957,1.26,Premium,I,VS2,62.4,58.0,6023,6.88,6.94,4.31
